Year,Sales of cigarettes per adult per day (International Smoking Statistics (2017)) 
1875,0.100000001
1880,0.100000001
1885,0.100000001
1890,0.100000001
1895,0.100000001
1900,0.150000002
1901,0.150000002
1902,0.150000002
1903,0.150000002
1904,0.200000003
1905,0.425000008
1906,0.425000008
1907,0.500000019
1908,0.549999993
1909,0.519999999
1910,0.580000001
1911,0.866666685
1912,0.966666679
1913,0.739999995
1914,1
1915,1.133333345
1916,1.549999952
1917,1.800000012
1918,2
1919,1.866666615
1920,1.531250007
1921,1.877777785
1922,1.845000008
1923,1.862500012
1924,1.973913027
1925,2.099999995
1926,2.082608689
1927,2.149999991
1928,2.245833315
1929,2.30833334
1930,2.412500019
1931,2.18750002
1932,2.10000001
1933,2.119230775
1934,2.089285726
1935,2.307999983
1936,2.590000015
1937,2.613636342
1938,2.854999989
1939,2.95263158
1940,2.952380927
1941,2.904999989
1942,2.895000014
1943,2.805000016
1944,2.634999995
1945,2.840000021
1946,3.228571404
1947,3.504761889
1948,3.631818175
1949,3.777272728
1950,4.491304356
1951,4.439130462
1952,4.617391286
1953,4.671999979
1954,4.717391304
1955,5.120833347
1956,5.078260862
1957,5.537500014
1958,5.465217393
1959,5.569565182
1960,5.856666684
1961,6.059999983
1962,6.086666679
1963,6.229999995
1964,6.079999987
1965,6.40666666
1966,6.516666627
1967,6.529999932
1968,6.686666648
1969,6.816666635
1970,6.930000019
1971,7.056666597
1972,7.340000041
1973,7.389999978
1974,7.673333311
1975,7.462500021
1976,7.553333282
1977,7.633333333
1978,7.54000001
1979,7.5866666
1980,7.459374964
1981,7.381250024
1982,7.378124952
1983,7.378124982
1984,7.346875012
1985,7.268750057
1986,7.209375009
1987,7.037499994
1988,6.600000049
1989,6.4627907
1990,6.357499993
1991,6.292682904
1992,5.960975606
1993,5.811627895
1994,5.916279044
1995,5.855813975
1996,5.797674412
1997,5.790697647
1998,5.799999969
1999,6.056410239
2000,5.945945959
2001,5.927777754
2002,5.797222224
2003,5.711111128
2004,5.524999936
2005,5.166666619
2006,5.212500043
2007,5.256250024
2008,5.224999987
2009,4.896874987
2010,4.634482754
2011,4.386956516
2012,4.155000019
2013,4.013333337
2014,3.884615385
2015,3.666666587
