cause,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Meningitis,432524,428900,426722,421104,414064,410088,417495,401124,393598,390356,386211,380120,372500,369377,363658,362012,359179,352953,343651,337066,326965,312917,300277,289674,280607,267947,261408,250281,241812,236222
Alzheimer's-Disease,560935,583499,606241,629938,652551,675206,697074,717759,739206,762078,787089,815021,846201,877539,909696,946177,982881,1022661,1065922,1110040,1156603,1201821,1248210,1295416,1344496,1395701,1452620,1510447,1569449,1623276
Parkinson's-Disease,147238,150955,154979,160345,164474,168976,173920,179448,185199,191651,198655,206313,215053,222375,227822,236635,242887,250616,260531,267889,276340,284645,293287,303651,313104,321963,330916,339540,351517,362907
Nutritional-Deficiencies,757152,729479,700996,674537,650113,723386,672263,647966,620761,593679,568710,542809,517989,417494,394175,376958,362686,347611,335821,323074,322389,314533,298307,291633,284764,278979,273382,267638,258265,251577
Malaria,840553,859283,856695,862512,855983,862940,872785,893231,901666,894094,882382,913037,929531,960008,961129,940883,942101,940521,933255,918165,910161,868828,806421,752017,724533,703065,660569,629854,631744,643381
Drowning,460665,454574,447255,445641,443548,437488,423478,413586,407388,397349,387815,376103,362146,347930,338599,332880,320055,312076,305047,297046,291003,281285,275763,266989,258658,254407,248984,242003,240434,237242
Domestic-Violence,373124,384328,407830,433541,442677,444969,433394,428051,432739,441394,451150,451994,463129,447514,441673,436805,428234,420911,423710,423685,418385,414873,418744,416649,414448,417393,413573,418221,420305,415180
Maternal Disorders,302586,298443,299461,293727,293314,290718,287916,289635,289480,289013,287210,282640,276442,269609,265466,264605,259454,252743,248086,244366,239943,234859,227356,223652,215061,208626,203912,199369,198237,196471
HIV/AIDS,336387,431156,540625,665151,801004,939400,1062658,1175308,1304896,1441111,1560801,1663535,1747605,1809961,1844490,1833561,1769283,1670624,1560729,1454432,1365783,1284845,1199767,1127213,1073944,1030605,996978,947838,893147,863837
Drug Overdose,56144,61900,66836,71617,76746,80010,81732,82605,85105,87365,89718,87355,84779,82283,81873,85023,85452,85994,87107,87058,88106,89350,90967,94594,99318,105431,112899,118356,123130,128083
Tuberculosis,1777469,1787128,1808478,1775454,1754546,1739497,1721637,1726761,1725031,1719853,1715139,1683058,1650182,1612941,1559197,1533147,1500031,1470772,1448161,1406123,1365562,1332306,1318781,1308067,1295393,1268132,1250088,1232232,1205461,1179766
Cardiovascular-Diseases,12068421,12226555,12444358,12808626,13032854,13135903,13220307,13346704,13468412,13727835,13964207,14192854,14509075,14718320,14753751,15003467,14999652,15125504,15410390,15561020,15846711,16046900,16254038,16499034,16724998,17099164,17408326,17695752,18124018,18562510
Respiratory-Infection,3320008,3284673,3260524,3228705,3189013,3150488,3092945,3049387,3001489,2952374,2897435,2832200,2790426,2748272,2698805,2679572,2647662,2618954,2604854,2573121,2547333,2529593,2527752,2538752,2533818,2534793,2517869,2489649,2488173,2493200
Neonatal-Diseases,3005945,2976440,2951726,2925823,2897848,2874948,2842377,2818851,2794868,2767575,2740621,2711523,2692641,2672560,2649140,2621886,2588385,2550490,2517065,2476333,2430201,2384917,2341224,2300572,2238670,2184319,2100235,2016024,1943447,1882438
Alcohol,116435,122526,131712,143954,153917,156766,156401,155476,156337,160670,166153,170844,175378,178952,180550,181768,177815,174060,171679,166803,164386,161440,159452,158918,159364,160786,162123,162681,165543,168015
Self-Harm,739087,752871,770582,792206,817987,826232,820445,822959,830149,841164,839548,821049,811501,814830,819584,826430,814440,802831,797878,786196,784770,777527,767331,755876,745067,742962,743255,743950,755457,759028
Natural-Disasters,50248,156576,12036,21381,12760,19174,14876,17873,48289,69612,8924,29503,8918,35512,242938,88728,19937,16229,235973,11000,248861,31859,8977,26931,7416,15591,8699,13399,11101,6076
Diarrheal-Diseases,2896268,2904396,2873098,2799886,2741561,2674486,2616493,2580163,2545692,2498034,2441610,2379473,2313613,2243904,2167428,2126871,2110230,2077233,2045625,1978087,1929559,1903750,1835542,1788859,1726438,1679781,1640560,1632901,1578639,1534443
Environmental,55079,56668,59944,66828,72321,72653,67615,63840,64874,63391,65468,66760,69953,71973,67154,68388,64640,59800,57777,54847,58675,51648,51427,49519,48791,51682,47509,46292,46295,47461
Neoplasms,5755373,5870802,5998995,6170027,6299073,6405941,6493740,6589264,6706446,6860918,7005380,7117805,7257594,7392016,7508315,7657499,7726714,7854808,8031392,8171963,8333679,8473252,8616504,8761914,8925062,9138501,9341881,9534619,9797018,10079637
Armed-Conflict,116364,85086,62093,62752,566518,67252,87367,99312,108892,141942,120087,67104,66446,71091,70562,59555,74623,71352,64747,71633,54505,62949,112387,117456,188089,167164,161785,130850,103496,62985
Diabetes,661824,680395,703044,728897,752098,774357,799921,828638,855347,880473,906946,935847,971561,1001334,1019233,1052058,1072209,1093962,1123503,1143635,1166915,1199277,1237904,1278750,1321981,1367511,1414338,1456169,1503162,1551170
Kidney-Disease,601307,613969,630556,647662,665781,684135,705064,731502,759156,785873,815370,843330,874671,902780,923527,957090,982396,1010984,1046451,1074778,1108207,1143989,1177089,1215013,1248226,1287809,1325894,1352271,1388601,1427232
Poisonings,88000,87858,88474,90073,90937,90395,88899,87408,86719,87371,88840,89326,89958,90675,91491,92101,89895,88513,88731,87937,87669,86135,84631,83656,82015,81013,79987,78518,77847,77162
Malnutrition-Starvation,656314,631330,606325,584222,564338,641362,594098,572638,549803,527676,506110,483298,462305,365960,345736,330056,316414,302283,290880,279514,279325,271700,255724,249607,243129,237901,232715,227199,218382,212242
Road-Injuries,1113411,1117666,1126217,1138091,1154304,1163463,1163484,1170473,1178491,1195982,1213031,1224896,1237786,1248905,1259242,1269937,1268190,1274027,1285039,1282368,1279539,1268433,1256149,1232930,1214700,1202132,1194268,1189003,1196641,1198289
Respiratory-Diseases,3093755,3149299,3208851,3267665,3298371,3314399,3343716,3383022,3402606,3420830,3451228,3467076,3491562,3492938,3464172,3480523,3462798,3468795,3511600,3499545,3511351,3540615,3559736,3612298,3653162,3692439,3742353,3797538,3888249,3974315
Liver-Diseases,1012975,1027439,1043531,1068326,1089924,1104987,1115851,1129580,1142133,1159185,1178262,1200898,1228256,1252440,1267253,1294673,1300973,1312671,1331276,1331125,1341426,1349614,1355105,1359901,1364180,1385734,1404943,1426787,1448499,1472012
Digestive-Diseases,1855372,1878516,1904767,1940585,1968709,1985322,1996581,2015735,2031693,2055304,2080656,2108906,2145111,2174886,2189105,2227349,2236529,2252604,2281303,2281052,2299575,2317749,2330760,2350277,2365400,2405760,2441045,2479463,2516671,2557689
Fire,123213,124037,125091,127585,129705,128616,126892,126360,124834,126022,126750,126520,125618,125826,123748,124266,121366,119694,118372,116271,115424,113760,112180,111913,110198,110255,109936,109262,110739,111292
Acute-Hepatitis,166405,165338,163749,161946,159482,157222,153459,151946,149613,147069,144174,140192,134987,130208,127996,128244,124781,120548,117313,112681,109596,106585,104623,98933,92878,88786,84761,82507,80924,79176
Meningitis,Alzheimer's-Disease,Parkinson's-Disease,Nutritional-Deficiencies,Malaria,Drowning,Domestic-Violence,Maternal Disorders,HIV/AIDS,Drug Overdose,Tuberculosis,Cardiovascular-Diseases,Respiratory-Infection,Neonatal-Diseases,Alcohol,Self-Harm,Natural-Disasters,Diarrheal-Diseases,Environmental,Neoplasms,Armed-Conflict,Diabetes,Kidney-Disease,Poisonings,Malnutrition-Starvation,Road-Injuries,Respiratory-Diseases,Liver-Diseases,Digestive-Diseases,Fire,Acute-Hepatitis
